ID,Order,Family,Family name,Common name,Scientific name,IUCN Status,ABA Status,CA List,Life list date,Life list location,US,CA,ABA,World Obs (Oct 2025),US Obs (Oct 2025),CA Obs (Oct 2025),Range,Featured,Order Target,Location
7432,PASSERIFORMES,Cisticolidae,Cisticolas and Allies,Striped Prinia,Prinia striata,UN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,559",0,0,,,,
5202,PASSERIFORMES,Furnariidae,Ovenbirds and Woodcreepers,Rufous Cacholote,Pseudoseisura unirufa,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,552",0,0,"eastern Bolivia, Chaco of northern Paraguay, and southwestern Brazil (Mato Grosso)",,,
5532,PASSERIFORMES,Tyrannidae,Tyrant Flycatchers,Handsome Flycatcher,Nephelomyias pulcher,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,533",0,0,,,,
9814,PASSERIFORMES,Estrildidae,Waxbills and Allies,White-headed Munia,Lonchura maja,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,513",0,0,"Malayan Peninsula, Sumatra, Java, and southern Vietnam; introduced Taiwan and Hong Kong",,,
8855,PASSERIFORMES,Mimidae,Mockingbirds and Thrashers,Bahama Mockingbird,Mimus gundlachii,LC,ABA 4,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,495","1,923",0,,,,
9513,PASSERIFORMES,Nectariniidae,Sunbirds and Spiderhunters,Orange-breasted Sunbird,Anthobaphes violacea,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,491",0,0,heathlands and protea shrubs of southwestern Cape Province (South Africa),,,
5409,PASSERIFORMES,Onychorhynchidae,Royal Flycatchers and Allies,Black-tailed Flycatcher,Myiobius atricaudus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,488",0,0,,,,
3584,PICIFORMES,Galbulidae,Jacamars,White-chinned Jacamar,Galbula tombacea,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,487",0,0,,,,
11048,PASSERIFORMES,Thraupidae,Tanagers and Allies,Bright-rumped Yellow-Finch,Sicalis uropygialis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,479",0,0,,,,
3369,CORACIIFORMES,Meropidae,Bee-eaters,Asian Green Bee-eater,Merops orientalis,LC,,,1/2/2018,IN-KL,,,,"765,596",0,0,,,,
1978,CHARADRIIFORMES,Charadriidae,Plovers and Lapwings,Long-billed Plover,Thinornis placidus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,474",0,0,"breeds riverine temperate eastern Asia from southeastern Siberia and Japan through eastern China, and disjunctly northeastern India; winters central Nepal eastward to Korean Peninsula and Taiwan, and southward to central Vietnam",,,
3371,CORACIIFORMES,Meropidae,Bee-eaters,Blue-throated Bee-eater,Merops viridis,LC,,,8/5/2026,SG,,,,"41,427",0,0,"southern China, Thailand, and Indochina to Sumatra, Borneo, and Java",,,
4618,PASSERIFORMES,Thamnophilidae,Typical Antbirds,Long-winged Antwren,Myrmotherula longipennis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,471",0,0,,,,
